patch,cell,baseline,c0,c1,c2
1,0,-77194,0.03145805411145908,1.5423413614340567e-08,0
1,1,343334,0.535941865724748,7.009610529335147e-05,0
1,2,-27839,0.2581900904946215,-8.497683810106931e-12,0
1,3,231628,0.2317590862291452,-2.9141150114714053e-10,0
1,4,-45937,0.04690527567124303,8.156688747087265e-09,0
1,5,196455,0.20344526788277062,-8.288763791306295e-09,0
1,6,232216,0.07087535795405364,1.1788801934605304e-10,0
1,7,-453219,0.13644087844692798,-3.2882905998663495e-08,0
1,8,-200531,-0.012898720695700305,3.0260213298680278e-05,0
1,9,-218594,0.22910321922193233,-8.463984285891107e-08,0
1,10,345165,0.2830371280464943,-7.278498445385952e-05,0
1,11,303856,0.09513474416574463,-7.780219945795162e-05,0
1,12,103277,0.12919528520084067,-1.638140781288894e-07,0
1,13,46358,0.06329715788135681,4.251352336044679e-08,0
1,14,-197349,0.25121525773646924,-9.777790181040076e-11,0
1,15,472158,0.17148704018681826,1.1811442153779953e-05,0
